1,symptom,兆候
2,appetite,食欲
3,rustle,かさかさと鳴る
4,forbidding,不気味な
5,hire,雇う
6,compound,複合物
7,forehead,額
8,skim,ざっと読む
9,besiege,包囲する
10,eternal,不滅の
11,category,範疇
12,frown,まゆをひそめる
13,seasoning,調味料
14,indispensable,不可欠の
15,file,整理する
16,shed,小屋
17,trustee,管財人
18,patriotic,愛国的な
19,assure,保証する
20,penetrate,貫く
21,pack,荷造りする
22,eclectic,折衷的な
23,tentative,仮の
24,conceit,うぬぼれ
25,register,登録する
26,envy,うらやむ
27,temporary,一時的な
28,humanism,人間主義
29,deputy,代理人
30,stake,くい
31,territory,領地
32,horseshoe,蹄鉄
33,resource,資源
34,mandate,命令
35,detect,みつける
36,interrupt,妨げる
37,unkempt,だらしない
38,uphold,支持する
39,implore,懇願する
40,prospect,見込み
41,feature,特徴
42,raid,急襲
43,suffer,被る
44,unemployment,失業
45,illicit,禁制の
46,acquire,習得する
47,anomaly,例外
48,provide,提供する
49,literally,文字通り
50,serpent,蛇
51,elastic,弾力性のある
52,papal,ローマ教皇の
53,grumble,不平を言う
54,interfere,邪魔する
55,vast,広大な
56,attribute,Aのせいにする
57,opportunity,機会
58,monarchy,君主国
59,compel,強制する
60,subsequent,続いて起こる
61,gloomy,憂鬱な
62,chemistry,化学
63,bishop,司教
64,nourishment,栄養物
65,implement,実行する
66,circulation,循環
67,wholesale,卸売
68,literature,文学
69,ebb,衰える
70,anticipate,予期する
71,phenomena,現象
72,come across,見つける
73,bankruptcy,倒産
74,melancholy,憂鬱
75,concrete,具体的な
76,customary,習慣的な
77,churchyard,教会墓地
78,extinguish,消す
79,rage,激怒
80,obscure,はっきりしない
81,devour,むさぼり食べる
82,lighthouse,灯台
83,stout,肥満の
84,comply,従う
85,package,小包
86,dismiss,解雇する
87,implementation,履行
88,premier,第一位の
89,wear,着ている
90,attitude,態度
91,livelihood,暮らし
92,coalesce,連合する
93,path,道
94,ancestor,先祖
95,arid,乾燥した
96,beverage,飲み物
97,cordial,心からの
98,influence,影響
99,contend,戦う
100,censure,非難
101,satellite,衛星
102,correct,訂正する
103,voyage,航海
104,mediator,調停者
105,timid,臆病な
106,culpable,とがめられるべき
107,punctuality,時間厳守
108,bulk,容積
109,astronomy,天文学
110,adjust,調整する
111,belie,隠す
112,accolade,賞賛
113,utterance,発言
114,abbreviation,略語
115,bloom,花が咲く
116,glimpse,ちらりと見える
117,drawer,引き出し
118,indifferent,無関心な
119,lace,ひも
120,cleanup,清掃
121,recommend,推薦する
122,tuition,指導
123,velocity,速度
124,vigor,精力
125,enormous,非常に大きな
126,qualified,適任の
127,trash,ごみ
128,amount,総額
129,belated,遅れた
130,bud,芽
131,surface,表面
132,axis,軸
133,viable,実行可能な
134,particle,粒子
135,crude,生の
136,sane,正気の
137,pregnant,妊娠した
138,mole,ほくろ
139,gut,はらわた
140,outnumber,数で勝る
141,prejudice,偏見
142,accomplish,完成させる
143,clue,糸口
144,brute,獣
145,distorted,ゆがんだ
146,repent,後悔する
147,cellar,地下室
148,efficient,効率的な
149,current,現代の
150,proposal,申し入れ
151,poll,投票
152,fraud,詐欺
153,ambiguous,あいまいな
154,dynamic,活動的な
155,retail,小売り
156,gull,カモメ
157,emerge,生ずる
158,puzzle,困らせるもの
159,assume,仮定する
160,adaptation,適合
161,placebo,気休めの薬
162,survey,調べる
